2025-03-06 17:46:42, ac: 206, Δaccepts: 103, Δhandled: 103, Δrequests: 1568, reading: 0, writing: 1, waiting: 205
2025-03-06 17:50:44, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:50:54, ac: 22, Δaccepts: 21, Δhandled: 21, Δrequests: 30, reading: 0, writing: 1, waiting: 21
2025-03-06 17:51:03, ac: 122, Δaccepts: 101, Δhandled: 101, Δrequests: 748, reading: 0, writing: 1, waiting: 121
2025-03-06 17:51:13, ac: 223, Δaccepts: 102, Δhandled: 102, Δrequests: 1754, reading: 0, writing: 1, waiting: 222
2025-03-06 17:51:23, ac: 322, Δaccepts: 100, Δhandled: 100, Δrequests: 2759, reading: 0, writing: 1, waiting: 321
2025-03-06 17:51:32, ac: 422, Δaccepts: 101, Δhandled: 101, Δrequests: 3748, reading: 0, writing: 1, waiting: 421
2025-03-06 17:51:42, ac: 502, Δaccepts: 81, Δhandled: 81, Δrequests: 4732, reading: 0, writing: 1, waiting: 501
2025-03-06 17:51:52, ac: 502, Δaccepts: 1, Δhandled: 1, Δrequests: 5005, reading: 0, writing: 1, waiting: 501
2025-03-06 17:52:01, ac: 502, Δaccepts: 1, Δhandled: 1, Δrequests: 4986, reading: 0, writing: 1, waiting: 501
2025-03-06 17:52:11, ac: 502, Δaccepts: 1, Δhandled: 1, Δrequests: 4989, reading: 0, writing: 1, waiting: 501
2025-03-06 17:52:21, ac: 502, Δaccepts: 1, Δhandled: 1, Δrequests: 5000, reading: 0, writing: 2, waiting: 500
2025-03-06 17:52:30, ac: 502, Δaccepts: 1, Δhandled: 1, Δrequests: 5002, reading: 0, writing: 1, waiting: 501
2025-03-06 17:52:40, ac: 502, Δaccepts: 1, Δhandled: 1, Δrequests: 4993, reading: 0, writing: 1, waiting: 500
2025-03-06 17:52:50, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 2635, reading: 0, writing: 1, waiting: 1
2025-03-06 17:53:00, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:53:09, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:53:19, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:53:29, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:53:38, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:53:48, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:53:58, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:54:07, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:54:17, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:54:27, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:54:36, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:54:46, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:54:56, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:55:06, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:55:14, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:55:24, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:55:34, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:55:43, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:55:54, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:56:04, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:56:12, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:56:22, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:56:32, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:56:41, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:56:51, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:57:01, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:57:11, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:57:20, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:57:30, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:57:40, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:57:49, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:57:59, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:58:09, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:58:18, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:58:28, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:58:38, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:58:47, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:58:57, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:59:07, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:59:17, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:59:26, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:59:36, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:59:46, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:59:55, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 18:00:05, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
